列表数量,总元素数,平均列表大小,K-way执行时间(ms),K-way时间标准差,Traditional执行时间(ms),Traditional时间标准差,时间加速比,K-way峰值内存(MB),Traditional峰值内存(MB),内存比值,性能提升百分比
2,200,100.0,0.4366999977113058,0.04871631842997649,0.09600001309687893,0.007738231391057357,0.21983057842913648,0.0032145182291666665,0.0026067097981770835,0.8109177215189874,-78.01694215708636
5,250,50.0,0.5629333318211138,0.006021059366844558,0.19449999672360718,0.017098534869594777,0.34551160098193373,0.0034535725911458335,0.0039215087890625,1.1354933726067746,-65.44883990180664
10,200,20.0,0.5074666696600616,0.0018147547991899193,0.2756333366657297,0.054186200692699506,0.5431555472409038,0.0035858154296875,0.00341796875,0.9531914893617022,-45.684445275909624
20,200,10.0,0.5909000077129652,0.05841994266914938,0.5483333273635557,0.24380856670689274,0.9279629720870021,0.0047760009765625,0.0034586588541666665,0.7241746538871139,-7.2037027912997935
50,250,5.0,0.7865000031112382,0.03880426221272879,1.0142333436912547,0.0901655314142469,1.2895528794394768,0.00879669189453125,0.00524139404296875,0.5958369470945359,28.95528794394768
100,500,5.0,1.620566676137969,0.07532105672110868,13.69263332647582,1.1222895931641974,8.449287232727276,0.016878763834635418,0.009661356608072916,0.5723971673949073,744.9287232727276
150,750,5.0,2.7897666635302207,0.2975159807412146,38.089033332653344,1.8080790307656807,13.653125127122566,0.0251312255859375,0.014757792154947916,0.5872293058085407,1265.3125127122566
200,1000,5.0,3.8479000019530454,0.3062897804241497,70.97170000391391,1.2035575022864982,18.444268293846363,0.03316497802734375,0.018511454264322918,0.5581627175830075,1744.4268293846362
250,1250,5.0,5.041133331057305,0.47185779743435674,117.69260000437498,1.9295202014044828,23.3464564960615,0.0413360595703125,0.023928324381510418,0.5788728928263812,2234.64564960615
300,1500,5.0,13.830033334670588,1.0550223346225232,174.11420000523017,2.7872148986719725,12.589571969341701,0.050457000732421875,0.029673258463541668,0.5880900178926942,1158.95719693417
400,1200,3.0,11.802599998190999,0.7414988474842749,159.6599666615172,3.938247239008883,13.527525010251004,0.06255340576171875,0.02622222900390625,0.41919746310525674,1252.7525010251004
500,1500,3.0,16.501533333212137,0.7978965682653123,257.9312000016216,9.828559662874218,15.630741385862082,0.07991917928059895,0.033017476399739586,0.4131358291833066,1463.0741385862082
600,1200,2.0,13.922799999515215,0.4157571694814771,220.0775666666838,8.09903977533156,15.806990452663745,0.09383646647135417,0.02715301513671875,0.28936527725079947,1480.6990452663745
700,1400,2.0,16.553133328367647,0.15798550275365017,293.7805333349388,11.312379739829547,17.747729539003803,0.1101061503092448,0.031122843424479168,0.28266217043341685,1674.7729539003803
800,1600,2.0,19.421166672448937,0.6533288969865558,401.80240000093664,15.36852016220667,20.688890980526807,0.12656402587890625,0.035753885904947914,0.28249643337954866,1968.8890980526808
900,900,1.0,9.952566664045056,0.08872035719730045,157.76166665212563,6.1936868920869586,15.851354929584165,0.14161809285481772,0.02234649658203125,0.15779407935496034,1485.1354929584165
1000,1000,1.0,11.4771333464887,0.3216102305931566,203.1082666653674,9.871152627216073,17.696776758937467,0.15847651163736978,0.023938496907552082,0.1510539111457021,1669.6776758937467
